pi,p,b,r
-0.2608173076923077,0.046875,0.3076923076923077,-0.90625
-0.22988505747126436,0.10344827586206896,0.3333333333333333,-0.7931034482758621
-0.25,0.0,0.25,-1.0
-0.9285714285714286,0.07142857142857142,1.0,-0.8571428571428572
-0.5,0.0,0.5,-1.0
-0.21774193548387097,0.03225806451612903,0.25,-0.935483870967742
-0.024999999999999994,0.1,0.125,-0.8
-0.2222222222222222,0.027777777777777776,0.25,-0.9444444444444444
-0.25,0.15,0.4,-0.7
-0.6190476190476191,0.047619047619047616,0.6666666666666666,-0.9047619047619048
-0.22807017543859648,0.10526315789473684,0.3333333333333333,-0.7894736842105263
-0.13526570048309178,0.08695652173913043,0.2222222222222222,-0.8260869565217391
-0.4444444444444444,0.2222222222222222,0.6666666666666666,-0.5555555555555556
-0.962962962962963,0.037037037037037035,1.0,-0.9259259259259259
-0.611111111111111,0.05555555555555555,0.6666666666666666,-0.8888888888888888
-0.625,0.041666666666666664,0.6666666666666666,-0.9166666666666666
-1.0,0.0,1.0,-1.0
0.1090909090909091,0.2,0.09090909090909091,-0.8181818181818181
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.04166666666666667,0.08333333333333333,0.125,-0.8333333333333334
0.05,0.05,0.0,-1.0
-0.3896103896103896,0.18181818181818182,0.5714285714285714,-0.6363636363636364
-0.3230769230769231,0.07692307692307693,0.4,-0.8461538461538461
-0.8695652173913043,0.13043478260869565,1.0,-0.7391304347826086
-0.467741935483871,0.03225806451612903,0.5,-0.935483870967742
-0.3333333333333333,0.0,0.3333333333333333,-1.0
-0.9615384615384616,0.038461538461538464,1.0,-0.9230769230769231
-0.5622641509433962,0.03773584905660377,0.6,-0.9245283018867925
-0.23308270676691728,0.05263157894736842,0.2857142857142857,-0.8947368421052632
-0.3090909090909091,0.09090909090909091,0.4,-0.8181818181818181
-0.4642857142857143,0.03571428571428571,0.5,-0.9285714285714286
-1.0,0.0,1.0,-1.0
-0.4579945799457995,0.0975609756097561,0.5555555555555556,-0.8048780487804879
-0.28682170542635654,0.046511627906976744,0.3333333333333333,-0.9069767441860466
-0.45161290322580644,0.04838709677419355,0.5,-0.9032258064516129
-0.9743589743589743,0.02564102564102564,1.0,-0.9487179487179487
